# Zeit (s)	# Kanal 1 (V)	# D0-D7	
-0.0025	5	159
-0.002495	5	159
-0.00249	5.0625	159
-0.002485	5	159
-0.00248	5	159
-0.002475	4.9375	159
-0.00247	5	159
-0.002465	5	159
-0.00246	5	191
-0.002455	5	179
-0.00245	5	179
-0.002445	5.0625	179
-0.00244	5	179
-0.002435	5	179
-0.00243	5	179
-0.002425	5	179
-0.00242	5.0625	179
-0.002415	5	179
-0.00241	5	179
-0.002405	5	179
-0.0024	4.9375	179
-0.002395	5	179
-0.00239	5	179
-0.002385	5	179
-0.00238	5	179
-0.002375	5	179
-0.00237	5	179
-0.002365	5	179
-0.00236	5	179
-0.002355	5	179
-0.00235	5	179
-0.002345	5.0625	179
-0.00234	5.0625	179
-0.002335	5	179
-0.00233	5	179
-0.002325	5	179
-0.00232	5	179
-0.002315	5.0625	179
-0.00231	5	179
-0.002305	5	179
-0.0023	5	179
-0.002295	5	179
-0.00229	4.8125	178
-0.002285	5	178
-0.00228	5.0625	178
-0.002275	5	178
-0.00227	5.0625	178
-0.002265	5	178
-0.00226	5	178
-0.002255	5	178
-0.00225	5	178
-0.002245	5	178
-0.00224	5	178
-0.002235	5	178
-0.00223	5	178
-0.002225	5	178
-0.00222	5	178
-0.002215	5	178
-0.00221	5	178
-0.002205	5	178
-0.0022	5	178
-0.002195	5	178
-0.00219	4.9375	178
-0.002185	4.9375	178
-0.00218	5	178
-0.002175	4.9375	178
-0.00217	5	178
-0.002165	5	178
-0.00216	5	178
-0.002155	5	178
-0.00215	5	178
-0.002145	5	178
-0.00214	4.9375	178
-0.002135	4.9375	178
-0.00213	5	186
-0.002125	5	168
-0.00212	5	168
-0.002115	5	168
-0.00211	5	168
-0.002105	5	168
-0.0021	5.0625	168
-0.002095	5	168
-0.00209	5	168
-0.002085	5	168
-0.00208	5	168
-0.002075	5	168
-0.00207	5.0625	168
-0.002065	5	168
-0.00206	5	168
-0.002055	5	168
-0.00205	5.0625	168
-0.002045	5	168
-0.00204	5	168
-0.002035	5	168
-0.00203	5	168
-0.002025	5	168
-0.00202	5	168
-0.002015	4.9375	168
-0.00201	5	168
-0.002005	5	168
-0.002	5	168
-0.001995	5.0625	168
-0.00199	5	168
-0.001985	5	168
-0.00198	5.0625	168
-0.001975	5	168
-0.00197	5.0625	184
-0.001965	5.0625	144
-0.00196	4.9375	144
-0.001955	5	144
-0.00195	5	144
-0.001945	5	144
-0.00194	5	144
-0.001935	5	144
-0.00193	5.0625	144
-0.001925	5.0625	144
-0.00192	5	144
-0.001915	5	144
-0.00191	5	144
-0.001905	4.9375	144
-0.0019	5	144
-0.001895	5	144
-0.00189	5	144
-0.001885	5	144
-0.00188	5	144
-0.001875	5	144
-0.00187	5.0625	144
-0.001865	5	144
-0.00186	5	144
-0.001855	5	144
-0.00185	5	144
-0.001845	5	144
-0.00184	4.9375	144
-0.001835	5.0625	144
-0.00183	5	144
-0.001825	5	144
-0.00182	5	144
-0.001815	5.0625	144
-0.00181	5	144
-0.001805	5	144
-0.0018	5	128
-0.001795	5.0625	128
-0.00179	5	128
-0.001785	5.0625	128
-0.00178	5	128
-0.001775	5	128
-0.00177	5	128
-0.001765	5	128
-0.00176	5	128
-0.001755	5	128
-0.00175	5	128
-0.001745	5	128
-0.00174	5	128
-0.001735	5	128
-0.00173	5	128
-0.001725	5	128
-0.00172	5	128
-0.001715	5	128
-0.00171	5	128
-0.001705	5.0625	128
-0.0017	5.0625	128
-0.001695	5	128
-0.00169	5	128
-0.001685	5	128
-0.00168	5	128
-0.001675	5	128
-0.00167	5	128
-0.001665	4.9375	128
-0.00166	5	128
-0.001655	5	128
-0.00165	5.0625	128
-0.001645	5	128
-0.00164	5	224
-0.001635	5	96
-0.00163	5	96
-0.001625	5	96
-0.00162	5	96
-0.001615	5	96
-0.00161	5	96
-0.001605	5	96
-0.0016	5	96
-0.001595	5	96
-0.00159	5.0625	96
-0.001585	5	96
-0.00158	5	96
-0.001575	5.0625	96
-0.00157	5	96
-0.001565	5.0625	96
-0.00156	5	96
-0.001555	5	96
-0.00155	5	96
-0.001545	5	96
-0.00154	5	96
-0.001535	5	96
-0.00153	5	96
-0.001525	5	96
-0.00152	5	96
-0.001515	5	96
-0.00151	5	96
-0.001505	5	96
-0.0015	5	96
-0.001495	5	96
-0.00149	5	96
-0.001485	4.9375	96
-0.00148	5	96
-0.001475	5	112
-0.00147	5	80
-0.001465	5.0625	80
-0.00146	5.0625	80
